Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1340875,-,-,-,42.37,-71.02,-5,14,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.2.0
Year,Month,Day,Hour,Minute,DHI,DNI,Dew Point,Solar Zenith Angle,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure,
2020,1,1,0,0,0,0,0.9,160.5,0.11,1.5,97.11,1.3,998,N/A
2020,1,1,0,30,0,0,0.9,158.73,0.11,1.6,97.21000000000001,1.3,999,N/A
2020,1,1,1,0,0,0,0.7000000000000001,155.47,0.11,1.7000000000000002,95.8,1.3,999,N/A
2020,1,1,1,30,0,0,0.7000000000000001,151.22,0.11,1.7000000000000002,97.18,1.1,999,N/A
2020,1,1,2,0,0,0,0.2,146.39000000000001,0.11,1.8,95.19,0.9,999,N/A
2020,1,1,2,30,0,0,0.2,141.20000000000002,0.11,1.8,96.57000000000001,0.7000000000000001,999,N/A
2020,1,1,3,0,0,0,-0.4,135.81,0.11,1.8,94.59,0.4,1000,N/A
2020,1,1,3,30,0,0,-0.4,130.32,0.11,1.8,95.97,0.2,1000,N/A
2020,1,1,4,0,0,0,-1,124.79,0.11,1.8,93.34,-0.1,1000,N/A
2020,1,1,4,30,0,0,-1,119.25,0.11,1.8,95.39,-0.4,1000,N/A
2020,1,1,5,0,0,0,-1.7000000000000002,113.77,0.11,1.7000000000000002,93.2,-0.7000000000000001,1000,N/A
2020,1,1,5,30,0,0,-1.7000000000000002,108.36,0.11,1.7000000000000002,93.88,-0.8,1000,N/A
2020,1,1,6,0,0,0,-2,103.06,0.11,1.7000000000000002,92.9,-1,1000,N/A
2020,1,1,6,30,0,0,-2,97.92,0.11,1.7000000000000002,92.9,-1,1000,N/A
2020,1,1,7,0,0,0,-2.1,92.96000000000001,0.11,1.7000000000000002,91.47,-0.9,1000,N/A
2020,1,1,7,30,15,113,-2.1,87.92,0.11,1.7000000000000002,88.84,-0.5,1000,N/A
2020,1,1,8,0,34,444,-1.6,83.63,0.11,1.8,89.34,-0.1,1001,N/A
2020,1,1,8,30,43,626,-1.6,79.56,0.11,1.8,85.54,0.5,1001,N/A
2020,1,1,9,0,51,718,-1.1,75.86,0.11,1.8,85.39,1.1,1001,N/A
2020,1,1,9,30,55,780,-1.1,72.60000000000001,0.11,1.9000000000000001,82.98,1.5,1001,N/A
2020,1,1,10,0,73,707,-0.8,69.87,0.11,2,81.54,2,1001,N/A
2020,1,1,10,30,124,443,-0.8,67.73,0.11,2,80.38,2.2,1001,N/A
2020,1,1,11,0,161,216,-0.7000000000000001,66.24,0.11,2.1,79.98,2.4000000000000004,1001,N/A
2020,1,1,11,30,163,288,-0.7000000000000001,65.45,0.11,2.1,79.41,2.5,1001,N/A
2020,1,1,12,0,168,120,-0.6000000000000001,65.39,0.11,2.1,80.29,2.5,1000,N/A
2020,1,1,12,30,101,597,-0.5,66.06,0.11,2,79.8,2.6,1001,N/A
2020,1,1,13,0,88,689,-0.30000000000000004,67.43,0.11,2,81,2.6,1001,N/A
2020,1,1,13,30,126,345,-0.30000000000000004,69.47,0.11,2,81.58,2.5,1001,N/A
2020,1,1,14,0,66,690,-0.1,72.11,0.11,2,83.27,2.4000000000000004,1001,N/A
2020,1,1,14,30,59,634,-0.1,75.28,0.11,2,84.55,2.2,1002,N/A
2020,1,1,15,0,44,625,-0.1,78.91,0.11,2,86.84,1.9000000000000001,1002,N/A
2020,1,1,15,30,38,417,0,82.93,0.11,2,88.81,1.6,1003,N/A
2020,1,1,16,0,19,244,-0.2,87.2,0.11,2,89.51,1.3,1003,N/A
2020,1,1,16,30,0,0,-0.2,92.14,0.11,2,90.89,1.1,1004,N/A
2020,1,1,17,0,0,0,-0.5,97.07000000000001,0.11,2,90.39,0.9,1004,N/A
2020,1,1,17,30,0,0,-0.5,102.18,0.11,2.1,91.79,0.7000000000000001,1005,N/A
2020,1,1,18,0,0,0,-0.8,107.46000000000001,0.11,2.1,90.82000000000001,0.5,1005,N/A
2020,1,1,18,30,0,0,-0.8,112.85000000000001,0.11,2.1,90.82000000000001,0.5,1005,N/A
2020,1,1,19,0,0,0,-1.2000000000000002,118.32000000000001,0.11,2.1,90.42,0.2,1006,N/A
2020,1,1,19,30,0,0,-1.2000000000000002,123.85000000000001,0.11,2,91.08,0.1,1006,N/A
2020,1,1,20,0,0,0,-1.5,129.38,0.11,2,90.16,-0.1,1006,N/A
2020,1,1,20,30,0,0,-1.5,134.88,0.11,2,91.48,-0.30000000000000004,1006,N/A
2020,1,1,21,0,0,0,-1.8,140.29,0.11,1.9000000000000001,91.17,-0.5,1006,N/A
2020,1,1,21,30,0,0,-1.7000000000000002,145.51,0.11,1.9000000000000001,91.93,-0.6000000000000001,1007,N/A
2020,1,1,22,0,0,0,-2,150.41,0.11,1.9000000000000001,91.56,-0.8,1007,N/A
2020,1,1,22,30,0,0,-2,154.77,0.11,1.9000000000000001,92.91,-1,1007,N/A
2020,1,1,23,0,0,0,-2.3000000000000003,158.22,0.11,1.9000000000000001,91.58,-1.1,1007,N/A
2020,1,1,23,30,0,0,-2.3000000000000003,160.26,0.11,1.9000000000000001,93.03,-1.3,1008,N/A
2020,1,2,0,0,0,0,-2.6,160.43,0.11,1.8,91.95,-1.5,1008,N/A
2020,1,2,0,30,0,0,-2.6,158.70000000000002,0.11,1.8,93.31,-1.7000000000000002,1008,N/A
2020,1,2,1,0,0,0,-3.1,155.46,0.11,1.8,91.62,-1.9000000000000001,1009,N/A
2020,1,2,1,30,0,0,-3.1,151.23,0.11,1.7000000000000002,93.67,-2.2,1009,N/A
2020,1,2,2,0,0,0,-3.7,146.41,0.11,1.7000000000000002,92.31,-2.6,1009,N/A
2020,1,2,2,30,0,0,-3.7,141.23,0.11,1.6,93.09,-2.7,1010,N/A
2020,1,2,3,0,0,0,-4,135.85,0.11,1.6,91.29,-2.8000000000000003,1010,N/A
2020,1,2,3,30,0,0,-4,130.36,0.11,1.5,91.29,-2.8000000000000003,1010,N/A
2020,1,2,4,0,0,0,-4,124.82000000000001,0.11,1.5,90.51,-2.7,1010,N/A
2020,1,2,4,30,0,0,-4,119.29,0.11,1.4000000000000001,89.18,-2.5,1010,N/A
2020,1,2,5,0,0,0,-3.9000000000000004,113.8,0.11,1.4000000000000001,89.71000000000001,-2.4000000000000004,1010,N/A
2020,1,2,5,30,0,0,-3.8000000000000003,108.39,0.11,1.4000000000000001,89.14,-2.3000000000000003,1011,N/A
